Year,Year ending,Offence Division,Offence Subdivision,Offence Group,Victim Reports,"Rate per 100,000 population"
2020,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","3,195",48.4
2020,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"25,262",382.4
2020,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"3,447",52.2
2020,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"3,931",59.5
2020,September,A Crimes against the person,A30 Sexual offences,A33 Incest,254,3.8
2020,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,474,7.2
2020,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,570,8.6
2020,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,503,7.6
2020,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,781",42.1
2020,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,399,6.0
2020,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,91,1.4
2020,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,60,0.9
2020,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"2,179",33.0
2020,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"5,467",82.8
2020,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"3,382",51.2
2020,September,B Property and deception offences,B10 Arson,B10 Arson,"1,196",18.1
2020,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"22,425",339.5
2020,September,B Property and deception offences,B20 Property damage,B22 Graffiti,"1,069",16.2
2020,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,321,4.9
2020,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"3,962",60.0
2020,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"19,424",294.0
2020,September,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"13,188",199.6
2020,September,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"47,534",719.5
2020,September,B Property and deception offences,B40 Theft,B43 Steal from a retail store,191,2.9
2020,September,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"7,485",113.3
2020,September,B Property and deception offences,B40 Theft,Other theft offences,"23,817",360.5
2020,September,B Property and deception offences,B50 Deception,B50 Deception,"9,325",141.2
2020,September,C Other offences,C Other offences,C Other offences,143,2.2
2019,September,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,190,2.9
2019,September,A Crimes against the person,A20 Assault and related offences,A21 Serious assault,"15,406",235.9
2019,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","3,008",46.1
2019,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"25,061",383.7
2019,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"3,531",54.1
2019,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"4,154",63.6
2019,September,A Crimes against the person,A30 Sexual offences,A33 Incest,224,3.4
2019,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,475,7.3
2019,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,480,7.3
2019,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,489,7.5
2019,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"3,102",47.5
2019,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,488,7.5
2019,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,115,1.8
2019,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,52,0.8
2019,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"2,004",30.7
2019,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"5,305",81.2
2019,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"3,219",49.3
2019,September,B Property and deception offences,B10 Arson,B10 Arson,"1,472",22.5
2019,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"22,839",349.7
2019,September,B Property and deception offences,B20 Property damage,B22 Graffiti,898,13.8
2019,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,331,5.1
2019,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"3,737",57.2
2019,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"22,801",349.1
2019,September,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"14,300",219.0
2019,September,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"51,110",782.6
2019,September,B Property and deception offences,B40 Theft,B43 Steal from a retail store,196,3.0
2019,September,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"7,055",108.0
2019,September,B Property and deception offences,B40 Theft,Other theft offences,"24,438",374.2
2019,September,B Property and deception offences,B50 Deception,B50 Deception,"8,549",130.9
2019,September,C Other offences,C Other offences,C Other offences,142,2.2
2018,September,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,210,3.3
2018,September,A Crimes against the person,A20 Assault and related offences,A21 Serious assault,"15,596",243.0
2018,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,845",44.3
2018,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"23,495",366.1
2018,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"3,505",54.6
2018,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"4,359",67.9
2018,September,A Crimes against the person,A30 Sexual offences,A33 Incest,238,3.7
2018,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,435,6.8
2018,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,374,5.8
